WALLS, MAZE,NODES EXPANDED, RUN TIME
5000,10,41,796020
5000,15,117,2757780
5000,20,215,3112420
5000,25,372,3349540
5000,30,635,3678280
5000,35,957,3856100
5000,40,1372,4087920
5000,45,1826,4425120
5000,50,2334,4639480
5000,55,2884,4888200
5000,60,3405,5146960
5000,65,4011,5432800
5000,70,4688,5785640
5000,75,5336,6090760
5000,80,6125,6667400
5000,85,6981,7228200
5000,90,8113,7935300
5000,95,9295,8829100
5000,100,10709,9593000
5000,105,12335,10848700
5000,110,14492,12362340
5000,115,16761,13672180
5000,120,19139,15541140
5000,125,21975,17800680
5000,130,25119,20055320
5000,135,28749,22674540
5000,140,32774,25035900
5000,145,37183,28027800
5000,150,42106,32593920
