WALLS, MAZE, NODES EXPANDED, RUN TIME
1000,10,59,843340
1000,15,150,2649960
1000,20,316,7380620
1000,25,506,9598920
1000,30,757,10137940
1000,35,1028,10364140
1000,40,1385,10766660
1000,45,1792,11190700
1000,50,2313,11554180
1000,55,2946,11985660
1000,60,3712,12475800
1000,65,4565,15671240
1000,70,5599,16285500
1000,75,6783,17005400
1000,80,8260,17891640
1000,85,9778,18761060
1000,90,11595,19767520
1000,95,13544,21907920
1000,100,15905,23608980
1000,105,18332,24865340
1000,110,21073,26616060
1000,115,24099,28165120
1000,120,27252,30779340
1000,125,30852,33195000
1000,130,34878,36447180
1000,135,39545,39884080
1000,140,44193,42784600
1000,145,49560,45649200
1000,150,54837,49632400
