MAZE, WALLS,NODES EXPANDED, RUN TIME
50,100,4637,9290660
50,101,9294,11380980
50,102,13403,13148740
50,103,17738,15063560
50,104,23141,17764640
50,105,27783,19896420
50,106,32312,21873640
50,107,38040,24500020
50,108,43637,27654240
50,109,48511,29848100
50,110,53748,32332840
50,111,58868,34906520
50,112,64177,37741040
50,113,70397,40794460
50,114,76702,43972840
50,115,82224,46687060
50,116,88202,49492480
50,117,94616,52916420
50,118,99856,55417860
50,119,106654,58945080
50,120,114039,62788980
50,121,120288,66276260
50,122,126934,69716320
50,123,134244,73066460
50,124,141518,76631380
50,125,148561,80237100
50,126,155971,84004080
50,127,164009,88008580
50,128,171483,92131320
50,129,179118,96115440
50,130,187842,102352380
50,131,195596,106007740
50,132,204754,110669820
50,133,211684,113875820
50,134,220415,118353800
50,135,228909,122387460
50,136,236800,126290800
50,137,244837,130258800
50,138,253261,134411240
50,139,262234,139027020
50,140,271380,143761540
50,141,281329,150139540
50,142,291839,155174000
50,143,300549,159402740
50,144,310161,164373800
50,145,319996,169191700
50,146,331764,175199360
50,147,342944,181124600
50,148,352547,185680860
50,149,363912,191393840
50,150,374100,196882280
