MAZE, WALLS, NODES EXPANDED, RUN TIME
50,10,34,904860
50,11,68,1784080
50,12,111,2612800
50,13,150,3063900
50,14,206,3939760
50,15,276,5533960
50,16,358,6129440
50,17,443,6860520
50,18,542,8165700
50,19,630,8761680
50,20,761,9001380
50,21,907,9094080
50,22,1057,9192820
50,23,1229,9365340
50,24,1405,9438080
50,25,1588,9513920
50,26,1784,9597660
50,27,2009,9707820
50,28,2246,9808140
50,29,2533,9978500
50,30,2830,10121200
50,31,3125,10246720
50,32,3471,10395720
50,33,3805,10558700
50,34,4192,10725840
50,35,4606,10902940
50,36,5017,11070500
50,37,5413,11254460
50,38,5921,11472780
50,39,6521,11786860
50,40,7155,12044300
50,41,7739,12304980
50,42,8337,12567000
50,43,8949,12813020
50,44,9655,13099960
50,45,10305,13394500
50,46,11087,13733080
50,47,11827,14081800
50,48,12705,14443900
50,49,13491,14773520
50,50,14515,15221760
